 time            in              out             time            v1#branch       vdd             vdd#branch      vmeas#branch    vss            
 8.35000000e-10  1.20000000e+00  4.42478894e-06  8.35000000e-10 -9.09783048e-10  1.20000000e+00 -1.02541771e-08  1.11639602e-08  0.00000000e+00 
 8.45000000e-10  1.20000000e+00  4.42480149e-06  8.45000000e-10  9.09785631e-10  1.20000000e+00 -1.02672970e-08  9.35751138e-09  0.00000000e+00 
 8.55000000e-10  1.20000000e+00  4.42479180e-06  8.55000000e-10 -9.09787625e-10  1.20000000e+00 -1.02541772e-08  1.11639648e-08  0.00000000e+00 
 8.65000000e-10  1.20000000e+00  4.42479928e-06  8.65000000e-10  9.09789164e-10  1.20000000e+00 -1.02672970e-08  9.35750781e-09  0.00000000e+00 
 8.75000000e-10  1.20000000e+00  4.42479351e-06  8.75000000e-10 -9.09790351e-10  1.20000000e+00 -1.02541772e-08  1.11639676e-08  0.00000000e+00 
 8.85000000e-10  1.20000000e+00  4.42479797e-06  8.85000000e-10  9.09791268e-10  1.20000000e+00 -1.02672969e-08  9.35750568e-09  0.00000000e+00 
 8.95000000e-10  1.20000000e+00  4.42479453e-06  8.95000000e-10 -9.09791976e-10  1.20000000e+00 -1.02541772e-08  1.11639692e-08  0.00000000e+00 
 9.05000000e-10  1.20000000e+00  4.42479718e-06  9.05000000e-10  9.09792523e-10  1.20000000e+00 -1.02672969e-08  9.35750441e-09  0.00000000e+00 
 9.15000000e-10  1.20000000e+00  4.42479513e-06  9.15000000e-10 -9.09792945e-10  1.20000000e+00 -1.02541773e-08  1.11639702e-08  0.00000000e+00 
 9.25000000e-10  1.20000000e+00  4.42479671e-06  9.25000000e-10  9.09793271e-10  1.20000000e+00 -1.02672969e-08  9.35750365e-09  0.00000000e+00 
 9.35000000e-10  1.20000000e+00  4.42479549e-06  9.35000000e-10 -9.09793522e-10  1.20000000e+00 -1.02541773e-08  1.11639708e-08  0.00000000e+00 
 9.45000000e-10  1.20000000e+00  4.42479643e-06  9.45000000e-10  9.09793716e-10  1.20000000e+00 -1.02672969e-08  9.35750320e-09  0.00000000e+00 
 9.55000000e-10  1.20000000e+00  4.42479571e-06  9.55000000e-10 -9.09793866e-10  1.20000000e+00 -1.02541773e-08  1.11639711e-08  0.00000000e+00 
 9.65000000e-10  1.20000000e+00  4.42479627e-06  9.65000000e-10  9.09793981e-10  1.20000000e+00 -1.02672969e-08  9.35750293e-09  0.00000000e+00 
 9.75000000e-10  1.20000000e+00  4.42479584e-06  9.75000000e-10 -9.09794070e-10  1.20000000e+00 -1.02541773e-08  1.11639713e-08  0.00000000e+00 
 9.85000000e-10  1.20000000e+00  4.42479617e-06  9.85000000e-10  9.09794139e-10  1.20000000e+00 -1.02672969e-08  9.35750277e-09  0.00000000e+00 
 9.95000000e-10  1.20000000e+00  4.42479591e-06  9.95000000e-10 -9.09794192e-10  1.20000000e+00 -1.02541773e-08  1.11639715e-08  0.00000000e+00 
 1.00500000e-09  1.20000000e+00  4.42479611e-06  1.00500000e-09  9.09794233e-10  1.20000000e+00 -1.02672969e-08  9.35750268e-09  0.00000000e+00 
 1.01500000e-09  1.20000000e+00  4.42479596e-06  1.01500000e-09 -9.09794265e-10  1.20000000e+00 -1.02541773e-08  1.11639715e-08  0.00000000e+00 
 1.02500000e-09  1.20000000e+00  4.42479608e-06  1.02500000e-09  9.09794289e-10  1.20000000e+00 -1.02672969e-08  9.35750262e-09  0.00000000e+00 
 1.03500000e-09  1.20000000e+00  4.42479598e-06  1.03500000e-09 -9.09794308e-10  1.20000000e+00 -1.02541773e-08  1.11639716e-08  0.00000000e+00 
 1.04500000e-09  1.20000000e+00  4.42479606e-06  1.04500000e-09  9.09794322e-10  1.20000000e+00 -1.02672969e-08  9.35750259e-09  0.00000000e+00 
 1.05500000e-09  1.20000000e+00  4.42479600e-06  1.05500000e-09 -9.09794333e-10  1.20000000e+00 -1.02541773e-08  1.11639716e-08  0.00000000e+00 
 1.06500000e-09  1.20000000e+00  4.42479604e-06  1.06500000e-09  9.09794342e-10  1.20000000e+00 -1.02672969e-08  9.35750257e-09  0.00000000e+00 
 1.07500000e-09  1.20000000e+00  4.42479601e-06  1.07500000e-09 -9.09794348e-10  1.20000000e+00 -1.02541773e-08  1.11639716e-08  0.00000000e+00 
 1.08500000e-09  1.20000000e+00  4.42479604e-06  1.08500000e-09  9.09794354e-10  1.20000000e+00 -1.02672969e-08  9.35750255e-09  0.00000000e+00 
 1.09500000e-09  1.20000000e+00  4.42479602e-06  1.09500000e-09 -9.09794357e-10  1.20000000e+00 -1.02541773e-08  1.11639716e-08  0.00000000e+00 
 1.10500000e-09  1.20000000e+00  4.42479603e-06  1.10500000e-09  9.09794360e-10  1.20000000e+00 -1.02672969e-08  9.35750255e-09  0.00000000e+00 
 1.11500000e-09  1.20000000e+00  4.42479602e-06  1.11500000e-09 -9.09794363e-10  1.20000000e+00 -1.02541773e-08  1.11639716e-08  0.00000000e+00 
 1.12500000e-09  1.20000000e+00  4.42479603e-06  1.12500000e-09  9.09794365e-10  1.20000000e+00 -1.02672969e-08  9.35750254e-09  0.00000000e+00 
 1.13500000e-09  1.20000000e+00  4.42479602e-06  1.13500000e-09 -9.09794366e-10  1.20000000e+00 -1.02541773e-08  1.11639716e-08  0.00000000e+00 
 1.14500000e-09  1.20000000e+00  4.42479603e-06  1.14500000e-09  9.09794367e-10  1.20000000e+00 -1.02672969e-08  9.35750254e-09  0.00000000e+00 
 1.15500000e-09  1.20000000e+00  4.42479602e-06  1.15500000e-09 -9.09794368e-10  1.20000000e+00 -1.02541773e-08  1.11639716e-08  0.00000000e+00 
 1.16500000e-09  1.20000000e+00  4.42479603e-06  1.16500000e-09  9.09794368e-10  1.20000000e+00 -1.02672969e-08  9.35750254e-09  0.00000000e+00 
 1.17500000e-09  1.20000000e+00  4.42479602e-06  1.17500000e-09 -9.09794369e-10  1.20000000e+00 -1.02541773e-08  1.11639716e-08  0.00000000e+00 
 1.18500000e-09  1.20000000e+00  4.42479603e-06  1.18500000e-09  9.09794369e-10  1.20000000e+00 -1.02672969e-08  9.35750254e-09  0.00000000e+00 
 1.19500000e-09  1.20000000e+00  4.42479602e-06  1.19500000e-09 -9.09794370e-10  1.20000000e+00 -1.02541773e-08  1.11639716e-08  0.00000000e+00 
 1.20000000e-09  1.20000000e+00  4.42479602e-06  1.20000000e-09  9.09794370e-10  1.20000000e+00 -1.02672969e-08  9.35750254e-09  0.00000000e+00 
 1.20100000e-09  1.18800000e+00 -3.27494719e-03  1.20100000e-09  2.94128043e-05  1.20000000e+00 -5.56841898e-06 -2.38443853e-05  0.00000000e+00 
 1.20300000e-09  1.16400000e+00 -5.87847422e-03  1.20300000e-09  3.34860131e-05  1.20000000e+00 -5.51785075e-06 -2.79681623e-05  0.00000000e+00 
 1.20700000e-09  1.11600000e+00 -5.28299551e-03  1.20700000e-09  3.24553080e-05  1.20000000e+00 -5.60714046e-06 -2.68481675e-05  0.00000000e+00 
